ENTIDAD_FEDERATIVA,Depresion_Sem,Depresion_M,Depresion_F,Parkinson_Sem,Parkinson_M,Parkinson_F,Alzheimer_Sem,Alzheimer_M,Alzheimer_F,ANIO,SEMANA
Quintana Roo,1,68,283.0,,28.0,26.0,,5.0,14.0,2014,41
San Luis Potosí,87,395,1.0,330.0,,14.0,31.0,,9.0,2014,41
Sinaloa,61,348,1487.0,8.0,146.0,152.0,10.0,56.0,89.0,2014,41
Sonora,26,371,1.0,313.0,,82.0,69.0,,43.0,2014,41
Tabasco,29,207,741.0,,45.0,18.0,,3.0,8.0,2014,41
Tamaulipas,44,513,1867.0,5.0,166.0,144.0,3.0,33.0,54.0,2014,41
Tlaxcala,6,31,94.0,,12.0,11.0,,,2.0,2014,41
Veracruz,50,454,1868.0,5.0,103.0,85.0,1.0,21.0,45.0,2014,41
Yucatán,12,225,887.0,,67.0,45.0,,20.0,33.0,2014,41
Zacatecas,12,184,600.0,1.0,13.0,4.0,,,2.0,2014,41
TOTAL,1390,12134,42083.0,82.0,2291.0,2041.0,34.0,594.0,897.0,2014,41
Aguascalientes,30,182,455.0,,4.0,5.0,,1.0,3.0,2014,42
Baja California,14,292,1179.0,1.0,67.0,82.0,1.0,20.0,51.0,2014,42
Baja California Sur,9,133,445.0,1.0,19.0,14.0,1.0,5.0,5.0,2014,42
Campeche,17,137,375.0,3.0,4.0,6.0,2.0,8.0,12.0,2014,42
Coahuila,40,324,1229.0,5.0,125.0,130.0,,23.0,48.0,2014,42
Colima,9,151,535.0,3.0,46.0,52.0,,3.0,10.0,2014,42
Chiapas,24,145,808.0,7.0,90.0,57.0,1.0,17.0,22.0,2014,42
Chihuahua,113,817,2.0,838.0,,117.0,150.0,3.0,34.0,2014,42
Distrito Federal,181,2854,7695.0,1.0,74.0,90.0,2.0,36.0,51.0,2014,42
Durango,53,305,1191.0,5.0,35.0,33.0,,6.0,10.0,2014,42
Guanajuato,20,81,324.0,1.0,11.0,13.0,,,2.0,2014,42
Guerrero,11,101,406.0,2.0,100.0,63.0,,13.0,16.0,2014,42
Hidalgo,43,247,1056.0,4.0,78.0,80.0,,7.0,12.0,2014,42
Jalisco,91,720,2238.0,7.0,102.0,98.0,1.0,23.0,36.0,2014,42
México,126,1052,3952.0,10.0,267.0,218.0,2.0,70.0,67.0,2014,42
Michoacán,66,418,1626.0,3.0,111.0,79.0,,29.0,28.0,2014,42
Morelos,57,296,1.0,355.0,,48.0,31.0,,5.0,2014,42
Nayarit,39,275,914.0,7.0,50.0,38.0,1.0,24.0,41.0,2014,42
Nuevo León,51,565,2030.0,11.0,152.0,149.0,4.0,74.0,92.0,2014,42
Oaxaca,15,211,759.0,6.0,81.0,55.0,,10.0,12.0,2014,42
Puebla,37,211,743.0,2.0,68.0,58.0,1.0,2.0,10.0,2014,42
Querétaro,8,98,287.0,,8.0,4.0,,2.0,2.0,2014,42
Quintana Roo,2,68,285.0,,28.0,26.0,,5.0,14.0,2014,42
San Luis Potosí,67,414,1.0,378.0,,14.0,31.0,2.0,9.0,2014,42
Sinaloa,52,360,1529.0,4.0,146.0,156.0,1.0,57.0,89.0,2014,42
Sonora,27,378,1.0,333.0,,82.0,69.0,,43.0,2014,42
Tabasco,29,211,766.0,,45.0,18.0,,3.0,8.0,2014,42
Tamaulipas,74,536,1918.0,10.0,171.0,149.0,4.0,35.0,56.0,2014,42
Tlaxcala,4,32,97.0,,12.0,11.0,,,2.0,2014,42
Veracruz,64,468,1918.0,6.0,107.0,87.0,3.0,21.0,48.0,2014,42
Yucatán,14,227,899.0,,67.0,45.0,,20.0,33.0,2014,42
Zacatecas,20,190,614.0,1.0,14.0,4.0,,,2.0,2014,42
TOTAL,1407,12499,43177.0,100.0,2343.0,2101.0,29.0,605.0,917.0,2014,42
Aguascalientes,26,190,475.0,1.0,4.0,6.0,1.0,1.0,4.0,2014,43
Campeche,21,143,390.0,1.0,5.0,6.0,,8.0,12.0,2014,43
Chihuahua,119,848,2926.0,2.0,118.0,151.0,16.0,42.0,64.0,2014,43
Distrito Federal,289,29297909,4.0,77.0,91.0,2.0,38.0,51.0,,2014,43
Guerrero,12,103,416.0,1.0,101.0,63.0,,13.0,16.0,2014,43
Jalisco,103,7432318,3.0,103.0,100.0,3.0,24.0,38.0,,2014,43
México,78,10664016,10.0,273.0,222.0,1.0,70.0,68.0,,2014,43
Michoacán,71,435,1.0,680.0,,111.0,79.0,12.0,41.0,2014,43
Morelos,36,301,1.0,386.0,,48.0,31.0,,5.0,2014,43
Nayarit,39,286,942.0,,50.0,38.0,1.0,24.0,42.0,2014,43
Nuevo León,68,5832080,7.0,156.0,152.0,3.0,76.0,93.0,,2014,43
Oaxaca,33,220,784.0,,81.0,55.0,1.0,11.0,12.0,2014,43
Querétaro,9,100,294.0,,8.0,4.0,,2.0,2.0,2014,43
Quintana Roo -,68,285,,28.0,26.0,,5.0,14.0,,2014,43
San Luis Potosí,39,421,1.0,410.0,,14.0,31.0,1.0,9.0,2014,43
Tabasco,13,213,777.0,,45.0,18.0,,3.0,8.0,2014,43
Tamaulipas,59,553,1960.0,11.0,178.0,153.0,2.0,36.0,57.0,2014,43
Veracruz,67,4811972,3.0,108.0,89.0,2.0,22.0,49.0,,2014,43
Yucatán,16,232,910.0,,67.0,45.0,,20.0,33.0,2014,43
Zacatecas,18,193,629.0,2.0,16.0,4.0,,,2.0,2014,43
TOTAL,1527,12867,44346.0,77.0,2390.0,2134.0,52.0,638.0,936.0,2014,43
Aguascalientes,31,195,504.0,1.0,4.0,8.0,,2.0,4.0,2014,44
Campeche,27,146,414.0,1.0,5.0,7.0,,8.0,12.0,2014,44
Chihuahua,135,886,3023.0,1.0,118.0,152.0,4.0,43.0,67.0,2014,44
Distrito Federal,297,30058130,1.0,77.0,92.0,,38.0,51.0,,2014,44
Guerrero,4,105,418.0,2.0,102.0,64.0,,13.0,16.0,2014,44
Jalisco,109,7702400,5.0,106.0,102.0,,24.0,38.0,,2014,44
México,104,10824107,6.0,276.0,225.0,1.0,70.0,69.0,,2014,44
Michoacán,29,447,1705.0,2.0,112.0,80.0,2.0,43.0,28.0,2014,44
Morelos,47,308,1.0,426.0,,48.0,31.0,,5.0,2014,44
Nayarit,39,295,972.0,2.0,50.0,40.0,2.0,25.0,43.0,2014,44
Nuevo León,64,5892138,6.0,157.0,157.0,5.0,79.0,95.0,,2014,44
Oaxaca,22,229,797.0,4.0,84.0,56.0,,11.0,12.0,2014,44
Querétaro,15,103,306.0,,8.0,4.0,,2.0,2.0,2014,44
Quintana Roo,3,69,287.0,,28.0,26.0,,5.0,14.0,2014,44
San Luis Potosí,64,432,1.0,463.0,,14.0,31.0,,9.0,2014,44
Tabasco,32,216,806.0,,45.0,18.0,,3.0,8.0,2014,44
Tamaulipas,60,570,2008.0,8.0,180.0,159.0,,36.0,57.0,2014,44
Veracruz,39,4912001,5.0,110.0,92.0,1.0,23.0,49.0,,2014,44
Yucatán,5,232,915.0,,67.0,45.0,,20.0,33.0,2014,44
Zacatecas,19,196,645.0,,16.0,4.0,,,2.0,2014,44
TOTAL,1566,13245,45671.0,80.0,2427.0,2188.0,24.0,650.0,949.0,2014,44
Aguascalientes,47,211,540.0,,4.0,8.0,,2.0,4.0,2014,45
Campeche,13,148,425.0,1.0,6.0,7.0,,8.0,12.0,2014,45
Chihuahua,137,917,3129.0,3.0,118.0,155.0,2.0,44.0,68.0,2014,45
Distrito Federal,247,30678315,6.0,81.0,94.0,2.0,38.0,53.0,,2014,45
Guerrero,15,111,427.0,2.0,103.0,65.0,,13.0,16.0,2014,45
Jalisco,79,7932457,4.0,108.0,104.0,3.0,26.0,39.0,,2014,45
México,87,11044172,7.0,280.0,228.0,2.0,70.0,71.0,,2014,45
Michoacán,52,460,1748.0,2.0,114.0,80.0,,43.0,28.0,2014,45
Morelos,33,315,1.0,452.0,,48.0,31.0,,5.0,2014,45
Nayarit,53,3131007,6.0,52.0,44.0,3.0,26.0,45.0,,2014,45
Nuevo León,59,6132182,5.0,158.0,161.0,4.0,80.0,98.0,,2014,45
Oaxaca,26,235,817.0,6.0,90.0,56.0,,11.0,12.0,2014,45
Querétaro,6,105,310.0,,8.0,4.0,,2.0,2.0,2014,45
Quintana Roo -,69,287,,28.0,26.0,,5.0,14.0,,2014,45
San Luis Potosí,43,439,1.0,499.0,,14.0,31.0,1.0,9.0,2014,45
Tabasco,14,218,818.0,,45.0,18.0,,3.0,8.0,2014,45
Tamaulipas,64,586,2056.0,6.0,185.0,160.0,2.0,38.0,57.0,2014,45
Veracruz,39,4992033,1.0,111.0,92.0,,23.0,50.0,,2014,45
Yucatán,26,237,936.0,,67.0,45.0,,20.0,33.0,2014,45
Zacatecas,24,202,663.0,1.0,17.0,4.0,,,2.0,2014,45
TOTAL,1385,13585,46749.0,82.0,2478.0,2219.0,25.0,658.0,967.0,2014,45
Aguascalientes,33,224,560.0,2.0,4.0,10.0,1.0,3.0,4.0,2014,46
Campeche,14,153,434.0,1.0,6.0,8.0,,8.0,12.0,2014,46
Chihuahua,79,931,3.0,199.0,,118.0,155.0,3.0,45.0,2014,46
Distrito Federal,252,31298509,10.0,86.0,99.0,,38.0,53.0,,2014,46
Guerrero,11,112,437.0,1.0,103.0,66.0,,13.0,16.0,2014,46
Jalisco,107,8212536,9.0,113.0,108.0,1.0,27.0,39.0,,2014,46
México,132,11224288,13.0,287.0,234.0,1.0,71.0,71.0,,2014,46
Michoacán,36,466,1778.0,4.0,116.0,82.0,,43.0,28.0,2014,46
Morelos,31,319,1.0,479.0,,48.0,31.0,,5.0,2014,46
Nayarit,25,3171028,3.0,54.0,45.0,1.0,26.0,46.0,,2014,46
Nuevo León,51,6282218,8.0,160.0,167.0,2.0,81.0,99.0,,2014,46
Oaxaca,25,240,837.0,1.0,91.0,56.0,,11.0,12.0,2014,46
Querétaro,12,108,319.0,,8.0,4.0,,2.0,2.0,2014,46
Quintana Roo,1,69,288.0,,28.0,26.0,,5.0,14.0,2014,46
San Luis Potosí,66,451,1.0,553.0,,14.0,31.0,,9.0,2014,46
Tabasco,19,219,836.0,1.0,46.0,18.0,,3.0,8.0,2014,46
Tamaulipas,33,595,2080.0,4.0,186.0,163.0,3.0,38.0,60.0,2014,46
Veracruz,86,5272091,2.0,113.0,92.0,1.0,23.0,51.0,,2014,46
Yucatán,15,239,949.0,,67.0,45.0,,20.0,33.0,2014,46
Zacatecas,6,202,669.0,2.0,18.0,5.0,,,2.0,2014,46
TOTAL,1384,13906,47848.0,84.0,2520.0,2261.0,24.0,669.0,980.0,2014,46
Aguascalientes,34,233,600.0,,4.0,10.0,,3.0,4.0,2014,47
Baja California,61,322,1292.0,6.0,72.0,88.0,5.0,22.0,56.0,2014,47
Baja California Sur,11,151,515.0,,23.0,14.0,,5.0,6.0,2014,47
Campeche,22,157,452.0,4.0,8.0,10.0,,8.0,12.0,2014,47
Coahuila,26,362,1386.0,7.0,138.0,144.0,4.0,27.0,54.0,2014,47
Colima,12,165,598.0,,48.0,57.0,2.0,4.0,12.0,2014,47
Chiapas,18,190,1001.0,3.0,102.0,63.0,3.0,20.0,25.0,2014,47
Chihuahua,96,960,3.0,266.0,,118.0,155.0,2.0,45.0,2014,47
Distrito Federal,215,3174,8679.0,4.0,87.0,102.0,1.0,39.0,53.0,2014,47
Durango,46,417,1.0,524.0,,43.0,38.0,,6.0,2014,47
Guanajuato,5,95,365.0,1.0,12.0,15.0,2.0,1.0,3.0,2014,47
Guerrero,21,114,456.0,5.0,104.0,70.0,,13.0,16.0,2014,47
Hidalgo,25,272,1168.0,6.0,86.0,92.0,,7.0,13.0,2014,47
Jalisco,78,847,2591.0,3.0,114.0,110.0,5.0,28.0,43.0,2014,47
México,108,1145,4373.0,7.0,292.0,236.0,1.0,72.0,71.0,2014,47
Michoacán,61,485,1820.0,4.0,120.0,82.0,,43.0,28.0,2014,47
Morelos,80,343,1535.0,3.0,49.0,33.0,,5.0,17.0,2014,47
Nayarit,34,323,1056.0,6.0,57.0,48.0,2.0,27.0,47.0,2014,47
Nuevo León,43,639,2250.0,5.0,163.0,169.0,4.0,84.0,100.0,2014,47
Oaxaca,29,252,868.0,15.0,104.0,59.0,2.0,11.0,14.0,2014,47
Puebla,18,253,903.0,2.0,72.0,66.0,,3.0,11.0,2014,47
Querétaro,10,108,329.0,,8.0,4.0,1.0,3.0,2.0,2014,47
Quintana Roo,5,71,291.0,,28.0,26.0,2.0,5.0,16.0,2014,47
San Luis Potosí,36,461,1579.0,1.0,14.0,32.0,,9.0,15.0,2014,47
Sinaloa,68,440,1775.0,8.0,176.0,177.0,3.0,66.0,99.0,2014,47
Sonora,42,409,1443.0,3.0,84.0,71.0,1.0,45.0,49.0,2014,47
Tabasco,14,221,848.0,1.0,47.0,18.0,,3.0,8.0,2014,47
Tamaulipas,29,605,2103.0,1.0,186.0,164.0,,38.0,60.0,2014,47
Tlaxcala,6,35,122.0,1.0,17.0,12.0,,,2.0,2014,47
Veracruz,71,547,2142.0,2.0,114.0,93.0,,23.0,51.0,2014,47
Yucatán,5,239,954.0,,67.0,45.0,,20.0,33.0,2014,47
Zacatecas,10,204,677.0,2.0,19.0,6.0,1.0,1.0,2.0,2014,47
TOTAL,1339,14239,48961.0,100.0,2576.0,2309.0,41.0,686.0,1005.0,2014,47
Aguascalientes,24,237,620.0,1.0,4.0,11.0,1.0,3.0,5.0,2014,48
Campeche,20,163,466.0,1.0,9.0,10.0,,8.0,12.0,2014,48
Chihuahua,109,998,3337.0,2.0,118.0,157.0,2.0,45.0,74.0,2014,48
Distrito Federal,231,32388861,2.0,88.0,103.0,,39.0,53.0,,2014,48
Guerrero,19,119,470.0,,104.0,70.0,,13.0,16.0,2014,48
Jalisco,87,8742651,10.0,120.0,114.0,1.0,28.0,44.0,,2014,48
México,75,11564437,7.0,298.0,237.0,1.0,73.0,71.0,,2014,48
Michoacán,32,491,1.0,846.0,,120.0,82.0,,43.0,2014,48
Morelos,43,348,1.0,573.0,,49.0,33.0,,5.0,2014,48
Nayarit,28,3341073,3.0,59.0,49.0,1.0,28.0,47.0,,2014,48
Nuevo León,27,6492267,4.0,166.0,170.0,,84.0,100.0,,2014,48
Oaxaca,24,261,883.0,4.0,107.0,60.0,,11.0,14.0,2014,48
Querétaro,7,110,334.0,,8.0,4.0,,3.0,2.0,2014,48
Quintana Roo,9,72,299.0,,28.0,26.0,,5.0,16.0,2014,48
San Luis Potosí,46,468,1618.0,2.0,14.0,34.0,,9.0,15.0,2014,48
Tabasco,17,226,860.0,,47.0,18.0,,3.0,8.0,2014,48
Tamaulipas,34,617,2125.0,7.0,187.0,170.0,3.0,38.0,63.0,2014,48
Veracruz,54,5582185,5.0,117.0,95.0,2.0,25.0,51.0,,2014,48
Yucatán,9,240,962.0,2.0,69.0,45.0,,20.0,33.0,2014,48
Zacatecas,13,209,685.0,,19.0,6.0,,1.0,2.0,2014,48
TOTAL,1172,14538,49855.0,62.0,2609.0,2338.0,17.0,693.0,1015.0,2014,48
Aguascalientes,23,249,638.0,1.0,4.0,12.0,,3.0,5.0,2014,49
Campeche,20,170,479.0,,9.0,10.0,,8.0,12.0,2014,49
Chihuahua,118,1033,3420.0,2.0,118.0,159.0,2.0,45.0,76.0,2014,49
Distrito Federal,241,32929069,4.0,90.0,105.0,,39.0,53.0,,2014,49
Guerrero,15,123,481.0,,104.0,70.0,,13.0,16.0,2014,49
Jalisco,157,9162767,18.0,130.0,122.0,6.0,28.0,50.0,,2014,49
México,93,11714515,6.0,304.0,237.0,2.0,74.0,72.0,,2014,49
Michoacán,54,501,1873.0,2.0,122.0,82.0,,43.0,28.0,2014,49
Morelos,29,3541596,1.0,50.0,33.0,,5.0,17.0,,2014,49
Nayarit,29,3401096,4.0,61.0,51.0,2.0,28.0,49.0,,2014,49
Nuevo León,13,652,2.0,277.0,,166.0,170.0,1.0,84.0,2014,49
Oaxaca,22,266,905.0,6.0,110.0,63.0,,11.0,14.0,2014,49
Querétaro,10,113,341.0,,8.0,4.0,,3.0,2.0,2014,49
Quintana Roo,7,74,304.0,3.0,31.0,26.0,,5.0,16.0,2014,49
San Luis Potosí,34,474,1.0,646.0,,14.0,34.0,1.0,9.0,2014,49
Tabasco,24,228,882.0,,47.0,18.0,,3.0,8.0,2014,49
Tamaulipas,47,636,2153.0,9.0,192.0,174.0,1.0,38.0,64.0,2014,49
Veracruz,65,5672241,1.0,118.0,95.0,1.0,26.0,51.0,,2014,49
Yucatán,8,240,970.0,,69.0,45.0,,20.0,33.0,2014,49
Zacatecas,17,215,696.0,,19.0,6.0,,1.0,2.0,2014,49
TOTAL,1338,14844,50904.0,85.0,2654.0,2378.0,22.0,697.0,1033.0,2014,49
Aguascalientes,17,255,655.0,2.0,5.0,13.0,1.0,3.0,6.0,2014,50
Baja California,16,330,1.0,316.0,,72.0,89.0,,22.0,2014,50
Baja California Sur,17,162,547.0,,23.0,14.0,,5.0,6.0,2014,50
Campeche,14,171,492.0,,9.0,10.0,,8.0,12.0,2014,50
Coahuila,34,374,1460.0,4.0,143.0,152.0,2.0,30.0,61.0,2014,50
Colima,17,176,628.0,3.0,51.0,61.0,,4.0,13.0,2014,50
Chiapas,15,198,1082.0,5.0,105.0,71.0,1.0,21.0,26.0,2014,50
Chihuahua,106,1065,3494.0,2.0,118.0,161.0,6.0,48.0,79.0,2014,50
Distrito Federal,223,3345,9239.0,4.0,91.0,108.0,1.0,39.0,54.0,2014,50
Durango,68,467,1.0,702.0,,45.0,38.0,,7.0,2014,50
Guanajuato,15,105,389.0,,13.0,15.0,,1.0,3.0,2014,50
Guerrero,26,127,503.0,,104.0,70.0,,13.0,16.0,2014,50
Hidalgo,17,298,1247.0,3.0,90.0,96.0,1.0,8.0,14.0,2014,50
Jalisco,178,964,2897.0,11.0,133.0,130.0,6.0,30.0,54.0,2014,50
México,77,1186,4577.0,6.0,307.0,240.0,1.0,75.0,72.0,2014,50
Michoacán,48,510,1912.0,4.0,123.0,85.0,,43.0,28.0,2014,50
Morelos,38,357,1.0,631.0,,50.0,33.0,,5.0,2014,50
Nayarit,21,350,1107.0,1.0,61.0,52.0,1.0,29.0,49.0,2014,50
Nuevo León,12,656,2.0,285.0,,166.0,170.0,,84.0,2014,50
Oaxaca,17,269,920.0,6.0,111.0,68.0,,11.0,14.0,2014,50
Puebla,37,279,973.0,3.0,78.0,69.0,,3.0,11.0,2014,50
Querétaro,12,115,351.0,,8.0,4.0,,3.0,2.0,2014,50
Quintana Roo,6,74,310.0,,31.0,26.0,,5.0,16.0,2014,50
San Luis Potosí,22,476,1666.0,1.0,14.0,35.0,,9.0,16.0,2014,50
Sinaloa,30,456,1.0,839.0,,179.0,181.0,,66.0,2014,50
Sonora,20,425,1.0,493.0,,84.0,71.0,,45.0,2014,50
Tabasco,17,230,897.0,,47.0,18.0,,3.0,8.0,2014,50
Tamaulipas,48,647,2204.0,4.0,197.0,180.0,2.0,41.0,66.0,2014,50
Tlaxcala,5,41,132.0,,17.0,12.0,,,2.0,2014,50
Veracruz,46,582,2272.0,8.0,123.0,98.0,,26.0,51.0,2014,50
Yucatán,11,240,981.0,,69.0,45.0,,20.0,33.0,2014,50
Zacatecas,23,220,714.0,1.0,19.0,7.0,,1.0,2.0,2014,50
TOTAL,1253,15150,51915.0,68.0,2686.0,2422.0,22.0,708.0,1048.0,2014,50
Aguascalientes,25,263,676.0,,5.0,13.0,,3.0,6.0,2014,51
Baja California,16,336,1.0,326.0,,72.0,89.0,,22.0,2014,51
Baja California Sur,9,165,553.0,,23.0,14.0,1.0,5.0,7.0,2014,51
Campeche,11,177,497.0,1.0,10.0,10.0,,8.0,12.0,2014,51
Coahuila,34,386,1483.0,6.0,145.0,156.0,2.0,30.0,63.0,2014,51
Colima,8,177,635.0,1.0,52.0,61.0,,4.0,13.0,2014,51
Chiapas,18,200,1098.0,6.0,111.0,69.0,1.0,21.0,27.0,2014,51
Chihuahua,120,1094,3.0,585.0,,118.0,161.0,3.0,50.0,2014,51
Distrito Federal,190,3394,9380.0,7.0,94.0,112.0,,39.0,54.0,2014,51
Durango,27,471,1725.0,3.0,46.0,40.0,,7.0,11.0,2014,51
Guanajuato,6,105,395.0,,13.0,15.0,,1.0,3.0,2014,51
Guerrero,3,127,506.0,,104.0,70.0,,13.0,16.0,2014,51
Hidalgo,26,306,1265.0,3.0,93.0,96.0,,8.0,14.0,2014,51
Jalisco,103,993,2971.0,4.0,135.0,132.0,2.0,32.0,54.0,2014,51
México,58,1199,4623.0,7.0,311.0,243.0,,75.0,72.0,2014,51
Michoacán,43,524,1941.0,4.0,125.0,87.0,,43.0,28.0,2014,51
Morelos,47,361,1674.0,1.0,50.0,34.0,,5.0,17.0,2014,51
Nayarit,22,360,1.0,119.0,,61.0,52.0,1.0,30.0,2014,51
Nuevo León,15,658,2298.0,1.0,166.0,171.0,,84.0,101.0,2014,51
Oaxaca,17,275,931.0,,111.0,68.0,,11.0,14.0,2014,51
Puebla,34,293,1011.0,2.0,78.0,72.0,,3.0,11.0,2014,51
Querétaro,6,117,355.0,,8.0,4.0,,3.0,2.0,2014,51
Quintana Roo,4,75,313.0,1.0,31.0,27.0,3.0,8.0,16.0,2014,51
San Luis Potosí,33,484,1691.0,3.0,15.0,37.0,,9.0,16.0,2014,51
Sinaloa,17,464,1848.0,1.0,180.0,181.0,,66.0,100.0,2014,51
Sonora,23,430,1.0,511.0,,84.0,71.0,,45.0,2014,51
Tabasco,22,232,917.0,,47.0,18.0,,3.0,8.0,2014,51
Tamaulipas,50,660,2241.0,5.0,200.0,182.0,2.0,42.0,67.0,2014,51
Tlaxcala,1,42,132.0,1.0,17.0,13.0,,,2.0,2014,51
Veracruz,56,586,2324.0,2.0,123.0,100.0,1.0,27.0,51.0,2014,51
Yucatán -,240,981,,69.0,45.0,,20.0,33.0,,2014,51
Zacatecas,8,223,719.0,,19.0,7.0,,1.0,2.0,2014,51
TOTAL,1052,15417,52724.0,59.0,2716.0,2450.0,16.0,718.0,1054.0,2014,51
Aguascalientes,20,269,695.0,,5.0,13.0,,3.0,6.0,2014,52
Baja California,26,337,1351.0,2.0,72.0,91.0,,22.0,56.0,2014,52
Baja California Sur,14,169,563.0,,23.0,14.0,,5.0,7.0,2014,52
Campeche,15,181,508.0,,10.0,10.0,,8.0,12.0,2014,52
Coahuila,34,391,1512.0,4.0,148.0,157.0,1.0,30.0,64.0,2014,52
Colima,12,179,645.0,2.0,52.0,63.0,1.0,4.0,14.0,2014,52
Chiapas,107,212,1193.0,3.0,113.0,70.0,,21.0,27.0,2014,52
Chihuahua,33,1099,3.0,613.0,,118.0,161.0,,50.0,2014,52
Distrito Federal,156,3440,9490.0,1.0,95.0,112.0,,39.0,54.0,2014,52
Durango,48,479,1765.0,3.0,48.0,41.0,,7.0,11.0,2014,52
Guanajuato,11,106,405.0,4.0,15.0,17.0,,1.0,3.0,2014,52
Guerrero,1,127,507.0,,104.0,70.0,,13.0,16.0,2014,52
Hidalgo,20,310,1281.0,1.0,93.0,97.0,,8.0,14.0,2014,52
Jalisco,45,1007,3002.0,4.0,138.0,133.0,,32.0,54.0,2014,52
México,79,1217,4684.0,5.0,315.0,244.0,2.0,77.0,72.0,2014,52
Michoacán,35,535,1.0,965.0,,125.0,87.0,,43.0,2014,52
Morelos,29,364,1.0,700.0,,50.0,34.0,,5.0,2014,52
Nayarit,13,361,1131.0,2.0,62.0,53.0,1.0,30.0,50.0,2014,52
Nuevo León,20,660,2316.0,4.0,168.0,173.0,,84.0,101.0,2014,52
Oaxaca,14,275,945.0,,111.0,68.0,1.0,11.0,15.0,2014,52
Puebla,30,300,1043.0,2.0,78.0,76.0,,3.0,11.0,2014,52
Querétaro,2,117,357.0,,8.0,4.0,,3.0,2.0,2014,52
Quintana Roo,3,75,316.0,1.0,32.0,27.0,1.0,8.0,17.0,2014,52
San Luis Potosí,40,487,1728.0,4.0,15.0,41.0,,9.0,16.0,2014,52
Sinaloa,21,473,1862.0,4.0,181.0,184.0,,66.0,100.0,2014,52
Sonora,9,432,1.0,520.0,,84.0,71.0,,45.0,2014,52
Tabasco,25,236,938.0,,47.0,18.0,,3.0,8.0,2014,52
Tamaulipas,62,685,2278.0,4.0,202.0,184.0,4.0,43.0,70.0,2014,52
Tlaxcala,3,42,135.0,1.0,17.0,14.0,,,2.0,2014,52
Veracruz,49,611,2374.0,4.0,129.0,102.0,2.0,29.0,54.0,2014,52
Yucatán,11,242,990.0,,69.0,45.0,,20.0,33.0,2014,52
Zacatecas,12,226,728.0,,19.0,7.0,,1.0,2.0,2014,52
TOTAL,999,15644,53540.0,55.0,2746.0,2481.0,13.0,723.0,1065.0,2014,52
Aguascalientes,12,274,716.0,,5.0,13.0,1.0,3.0,7.0,2014,53
Baja California,1,337,1352.0,1.0,73.0,91.0,,22.0,56.0,2014,53
Baja California Sur,2,170,564.0,,23.0,14.0,,5.0,7.0,2014,53
Campeche,5,182,512.0,1.0,10.0,11.0,,8.0,12.0,2014,53
Coahuila,22,398,1527.0,3.0,150.0,158.0,,30.0,64.0,2014,53
Colima,7,182,649.0,3.0,52.0,66.0,,4.0,14.0,2014,53
Chiapas,8,213,1200.0,2.0,115.0,70.0,,21.0,27.0,2014,53
Chihuahua,56,1142,3.0,664.0,,118.0,161.0,4.0,53.0,2014,53
Distrito Federal,106,3474,9576.0,3.0,97.0,113.0,1.0,40.0,54.0,2014,53
Durango,44,491,1.0,797.0,,48.0,41.0,,7.0,2014,53
Guanajuato,5,107,409.0,1.0,16.0,17.0,,1.0,3.0,2014,53
Guerrero -,127,507,,104.0,70.0,,13.0,16.0,,2014,53
Hidalgo,4,311,1284.0,1.0,93.0,98.0,,8.0,14.0,2014,53
Jalisco,23,1013,3019.0,1.0,139.0,133.0,,32.0,54.0,2014,53
México,46,1226,4722.0,6.0,318.0,247.0,1.0,77.0,73.0,2014,53
Michoacán,14,540,1974.0,1.0,125.0,88.0,,43.0,28.0,2014,53
Morelos,13,364,1.0,713.0,,50.0,34.0,,5.0,2014,53
Nayarit,12,366,1138.0,1.0,63.0,53.0,1.0,30.0,51.0,2014,53
Nuevo León,6,661,2319.0,1.0,168.0,174.0,,84.0,101.0,2014,53
Oaxaca,10,279,951.0,1.0,111.0,69.0,,11.0,15.0,2014,53
Puebla,18,304,1057.0,3.0,79.0,78.0,,3.0,11.0,2014,53
Querétaro,1,118,357.0,,8.0,4.0,1.0,3.0,3.0,2014,53
Quintana Roo,3,77,317.0,1.0,32.0,28.0,,8.0,17.0,2014,53
San Luis Potosí,7,489,1733.0,1.0,15.0,42.0,,9.0,16.0,2014,53
Sinaloa,9,476,1870.0,1.0,181.0,185.0,,66.0,100.0,2014,53
Sonora,7,433,1.0,526.0,,84.0,71.0,,45.0,2014,53
Tabasco,11,236,949.0,,47.0,18.0,,3.0,8.0,2014,53
Tamaulipas,28,697,2294.0,6.0,203.0,189.0,,43.0,70.0,2014,53
Tlaxcala,4,43,138.0,,17.0,14.0,,,2.0,2014,53
Veracruz,50,616,2419.0,4.0,132.0,103.0,5.0,31.0,57.0,2014,53
Yucatán,3,242,993.0,2.0,71.0,45.0,,20.0,33.0,2014,53
Zacatecas,2,227,729.0,,19.0,7.0,,1.0,2.0,2014,53
TOTAL,539,15815,53975.0,44.0,2766.0,2505.0,14.0,729.0,1073.0,2014,53
